race,Model,comp_OR,comp_LCL,comp_UCL,comp_p,los_OR,los_LCL,los_UCL,los_p
Asian of Pacific Islander,Unadjusted,0.83,0.185,3.746,0.812,0.59,0.379,0.917,0.019
Black,Unadjusted,0.46,0.06,3.469,0.448,1.55,1.013,2.369,0.044
Hispanic,Unadjusted,0.74,0.283,1.949,0.545,0.79,0.608,1.034,0.087
Other,Unadjusted,1.03,0.292,3.618,0.967,1.38,0.948,2.006,0.092
Asian of Pacific Islander,Adjusted,0.87,0.182,4.112,0.856,0.71,0.455,1.116,0.139
Black,Adjusted,0.44,0.058,3.305,0.425,1.39,0.902,2.155,0.135
Hispanic,Adjusted,0.76,0.273,2.125,0.602,0.79,0.594,1.052,0.107
Other,Adjusted,1.13,0.334,3.849,0.841,1.44,0.971,2.123,0.07
Male,Adjusted,1.23,0.562,2.68,0.607,0.95,0.753,1.188,0.632
2.0,Adjusted,0.74,0.23,2.377,0.613,0.72,0.522,0.99,0.043
3.0,Adjusted,0.9,0.292,2.768,0.853,0.64,0.463,0.89,0.008
4.0,Adjusted,0.8,0.243,2.6,0.705,0.7,0.502,0.984,0.04
